sequence,initiator,budget,cuisine,gender,companion,day,meal,email1,emai2,restaurant,status
1,Caleb,2,ethiopian,male,unknown,12/7/17,Dinner,yshaffer@wilson.org,unknown,unknown,unmatched
2,Gregory,2,japanese,male,unknown,12/8/17,Dinner,moraleswendy@webster.com,unknown,unknown,unmatched
3,Brandon,2,mediterranian,male,unknown,12/7/17,Breakfast,torresheather@hotmail.com,unknown,unknown,unmatched
4,Breanna,2,american,female,unknown,12/9/17,Lunch,zleonard@adams.biz,unknown,unknown,unmatched
5,Daniel,1,american,male,unknown,12/9/17,Breakfast,littlekayla@tyler.biz,unknown,unknown,unmatched
6,Penny,3,mediterranian,female,unknown,12/8/17,Lunch,qglover@hotmail.com,unknown,unknown,unmatched
7,Christopher,2,indian,male,unknown,12/7/17,Dinner,millermaria@donovan-walker.com,unknown,unknown,unmatched
8,Nathan,2,italian,male,unknown,12/8/17,Dinner,charlesfrost@gmail.com,unknown,unknown,unmatched
9,Laura,3,mexican,female,unknown,12/9/17,Dinner,acostakelly@warren.com,unknown,unknown,unmatched
10,Jessica,2,ethiopian,female,unknown,12/7/17,Breakfast,vnavarro@yahoo.com,unknown,unknown,unmatched
11,Paul,3,italian,male,unknown,12/9/17,Dinner,jennifer83@yahoo.com,unknown,unknown,unmatched
12,Jamie,2,japanese,female,unknown,12/9/17,Breakfast,maria46@shepherd-boyer.com,unknown,unknown,unmatched
13,Ryan,2,mexican,male,unknown,12/7/17,Breakfast,ebradford@castro-giles.biz,unknown,unknown,unmatched
14,Beth,2,russian,female,unknown,12/7/17,Breakfast,lmurray@gmail.com,unknown,unknown,unmatched
15,Gabriel,2,italian,male,unknown,12/7/17,Lunch,daniellecobb@yahoo.com,unknown,unknown,unmatched
16,Amy,3,mediterranian,female,unknown,12/7/17,Lunch,kellyvasquez@duran.biz,unknown,unknown,unmatched
17,Emily,3,korean,female,unknown,12/7/17,Breakfast,samanthalane@sanchez-barnes.com,unknown,unknown,unmatched
18,Kimberly,1,korean,female,unknown,12/9/17,Lunch,ryan18@gmail.com,unknown,unknown,unmatched
19,Brandi,3,korean,female,unknown,12/8/17,Lunch,jeffreyhayes@gmail.com,unknown,unknown,unmatched
20,April,1,french,female,unknown,12/8/17,Lunch,osmith@booth.com,unknown,unknown,unmatched
21,Keith,2,mexican,male,unknown,12/8/17,Dinner,jorge38@yahoo.com,unknown,unknown,unmatched
22,Glen,3,chinese,male,unknown,12/7/17,Dinner,melissablake@orr-alvarado.biz,unknown,unknown,unmatched
