firstName,gender,email,password,major,pref_1,pref_2,pref_3,summary
Amber,female,huffmanrandall@gmail.com,51118982,Performing Arts,ethiopian,mexican,thai,
Lindsey,female,vharris@yahoo.com,39857279,Journalism,french,spanish,japanese,
Robert,male,jarvisdavid@holmes.org,37267991,Architecture,mexican,indian,thai,
Deborah,female,wesley52@hotmail.com,94375419,Philosophy and Religious Studies,mediterranian,mexican,italian,
Vanessa,female,glenn08@hotmail.com,85813373,Applied Sciences,japanese,spanish,american,
Shane,male,esmith@lloyd-stevenson.org,11739503,Foreign Languages,spanish,russian,korean,
Dennis,male,thenderson@harrington-bryant.com,67189368,Foreign Languages,mediterranian,mexican,japanese,
Jeffrey,male,terrence90@davis.net,19603479,Journalism,korean,ethiopian,spanish,
Beth,female,lmurray@gmail.com,66554793,English Language and Literature,russian,ethiopian,mediterranian,
Beth,female,sarahkennedy@gmail.com,37247008,Information Sciences,spanish,ethiopian,italian,
Oscar,male,nkelly@hotmail.com,85957231,Management,spanish,thai,indian,
Thomas,male,andrew04@hotmail.com,63597471,English Language and Literature,italian,thai,ethiopian,
Michelle,female,tallen@hotmail.com,53293927,Biomedical Sciences,chinese,japanese,french,
Amy,female,humphreylisa@gmail.com,74822841,Psychology,japanese,thai,american,
Emily,female,lisa84@carter-smith.net,52610610,Biomedical Sciences,indian,mediterranian,spanish,
Linda,female,martingrant@yahoo.com,26500698,Communications Technologies,japanese,chinese,russian,
James,male,bdavis@hotmail.com,67618823,Philosophy and Religious Studies,russian,korean,french,
Katelyn,female,mariahwells@bray-douglas.com,88511056,Applied Sciences,italian,mediterranian,chinese,
Jacqueline,female,wilsonrichard@hotmail.com,31473815,Performing Arts,french,italian,mexican,
Alexandra,female,maysalyssa@huffman.com,81023113,Cultural,chinese,indian,japanese,
Jennifer,female,melissa87@david.info,63650348,Management,american,thai,spanish,
Amy,female,erik07@gmail.com,89389032,Management,spanish,russian,thai,
Renee,female,rachel91@nelson-abbott.org,49471546,Literatures,american,italian,mexican,
Alicia,female,anthonysantiago@grant.com,69123290,Biomedical Sciences,french,spanish,japanese,
Kimberly,female,andrewsmith@gmail.com,61738456,Agriculture,russian,french,korean,
Derrick,male,brownbruce@hotmail.com,58744737,Law Enforcement,mediterranian,american,italian,
Donald,male,angela48@williams-garcia.info,78169082,Literatures,ethiopian,russian,korean,
Sheila,female,josephjohnson@garrett.org,68639880,Biomedical Sciences,spanish,thai,russian,
Marie,female,waltonmelissa@taylor-jenkins.biz,68106714,Management,russian,french,korean,
Kimberly,female,todd25@yahoo.com,78392881,Ethnic,korean,mediterranian,thai,
Stuart,male,qbautista@meyer.org,46256964,Marketing,mexican,ethiopian,italian,
Sally,female,ashleycohen@solis.com,64049187,Applied Sciences,thai,chinese,french,
Corey,male,charlotteerickson@hotmail.com,70381973,Business,thai,russian,french,
Kimberly,female,owilliams@hotmail.com,92789211,Management,spanish,korean,french,
Claudia,female,lewismary@griffith.com,14649932,Foreign Languages,japanese,ethiopian,italian,
Jay,male,maria67@henry.com,75763311,Management,thai,french,russian,
Amy,female,davidbaker@gmail.com,98176554,Psychology,american,ethiopian,russian,
Benjamin,male,gdiaz@morales.com,39866075,Foreign Languages,japanese,thai,italian,
Stacy,female,theresa63@yahoo.com,63594111,Communications Technologies,russian,thai,mediterranian,
Anthony,male,brett59@gmail.com,57184902,Architecture,spanish,american,french,
Kimberly,female,ryan18@gmail.com,51519478,Ethnic,italian,mexican,indian,
Tyrone,male,brendanunez@melendez.net,79618793,Communications Technologies,thai,mexican,french,
Amanda,female,wallaceluis@cantrell.com,75710318,Law Enforcement,thai,french,italian,
Lisa,female,ginalogan@yahoo.com,90206164,Marketing,spanish,korean,italian,
Krystal,female,reidnancy@barnes.info,17517268,Ethnic,ethiopian,korean,russian,
Teresa,female,floydanthony@collier-thompson.com,65360176,Psychology,mexican,french,italian,
Theresa,female,heatherwilliams@gmail.com,36954958,Ethnic,russian,mediterranian,spanish,
Timothy,male,molinajustin@gmail.com,34250744,Applied Sciences,indian,ethiopian,japanese,
Margaret,female,griffincynthia@jones.com,70432379,Management,spanish,russian,thai,
Pamela,female,balljames@hotmail.com,52337535,Applied Sciences,thai,spanish,italian,
Audrey,female,valenciamichael@yahoo.com,43144683,Management,french,mexican,chinese,
Rodney,male,molinacaleb@buchanan-adams.com,81697621,Agriculture,chinese,korean,american,
Gary,male,jasonmoore@gmail.com,11826952,English Language and Literature,french,mexican,spanish,
Bryan,male,cisnerosmarie@hotmail.com,92072077,Business,mexican,american,mediterranian,
William,male,gbrooks@yahoo.com,60380922,Biomedical Sciences,thai,russian,american,
Lori,female,kristen61@crawford.com,96898585,Marketing,chinese,mediterranian,korean,
Donald,male,zsmith@cannon.com,86768471,Marketing,french,ethiopian,japanese,
Kelsey,female,amanda24@gmail.com,10916679,Agriculture,chinese,ethiopian,french,
Ricky,male,phernandez@hotmail.com,38900154,Marketing,japanese,italian,mexican,
Brandi,female,fhays@wilson.com,36249888,Agriculture,italian,mexican,french,
Ethan,male,kellymiller@gmail.com,81667635,Marketing,french,japanese,thai,
Matthew,male,jfrazier@adkins.com,93819700,English Language and Literature,indian,chinese,american,
Elizabeth,female,mschmidt@burke.biz,33223249,Marketing,ethiopian,french,russian,
Betty,female,owelch@webster.com,33420260,Communications Technologies,ethiopian,korean,mexican,
Michael,male,ambererickson@yahoo.com,54299468,Law Enforcement,french,italian,spanish,
Charles,male,zheath@gmail.com,23111412,Applied Sciences,italian,american,chinese,
Douglas,male,ethan51@travis.info,24725196,Information Sciences,mexican,thai,french,
David,male,trujillolisa@hotmail.com,49701826,Law Enforcement,mediterranian,thai,american,
Kevin,male,mharris@yahoo.com,48189594,English Language and Literature,italian,french,mexican,
Monica,female,leachscott@becker.com,44633329,Business,italian,ethiopian,korean,
Meghan,female,kbryant@hotmail.com,84793254,Literatures,chinese,japanese,korean,
Katelyn,female,laura84@hotmail.com,79545669,Architecture,korean,spanish,chinese,
Crystal,female,markrichardson@williams.com,62554508,Management,italian,japanese,american,
Gabriel,male,daniellecobb@yahoo.com,12250976,Architecture,japanese,mediterranian,italian,
Alexis,female,joodom@payne-ray.org,43281346,Marketing,spanish,french,chinese,
Samuel,male,sotoalicia@austin.com,95945565,Foreign Languages,ethiopian,french,mexican,
Catherine,female,stacey10@yahoo.com,98153856,Architecture,italian,thai,korean,
Kevin,male,hnielsen@cantu.net,30582252,Law Enforcement,japanese,russian,korean,
Brandon,male,taylor29@hotmail.com,46858750,Architecture,ethiopian,russian,mediterranian,
Brendan,male,suegarcia@chang-shannon.biz,11184169,Communications Technologies,chinese,japanese,russian,
Matthew,male,cjones@hotmail.com,62352388,Foreign Languages,indian,japanese,thai,
Tara,female,brianaclark@french.info,26762616,Performing Arts,mexican,mediterranian,indian,
Jose,male,wcollins@avila-ho.com,97225894,Literatures,mediterranian,korean,ethiopian,
George,male,hlewis@fisher.info,49680954,Literatures,mexican,indian,american,
Jonathan,male,cynthiataylor@hotmail.com,52308792,Communications Technologies,thai,american,indian,
Kenneth,male,ctyler@yahoo.com,81562413,Management,indian,american,chinese,
Christian,male,aoconnor@hotmail.com,18685039,Agriculture,russian,japanese,french,
Brittany,female,veronica02@hayes.com,22516632,Marketing,japanese,italian,ethiopian,
Amanda,female,snichols@hotmail.com,81300236,Psychology,italian,american,russian,
Jacob,male,ronald06@hotmail.com,94916279,Foreign Languages,italian,korean,spanish,
Shelia,female,mgardner@rogers-martinez.com,34122383,Foreign Languages,ethiopian,thai,italian,
Emily,female,mbrown@stevens-turner.com,44683047,Performing Arts,russian,mexican,indian,
Alexander,male,braycarol@hernandez-avila.com,21462563,Literatures,indian,russian,american,
Mark,male,john26@santos.biz,31178331,Applied Sciences,french,italian,ethiopian,
David,male,vwong@wang.com,33017794,English Language and Literature,ethiopian,indian,thai,
Jason,male,courtneypittman@andrade.net,82262533,Architecture,chinese,spanish,ethiopian,
James,male,harperkaren@yahoo.com,63089432,Architecture,chinese,thai,spanish,
Penny,female,brandonjefferson@yahoo.com,89746855,Ethnic,russian,french,american,
Charles,male,turnercharles@yahoo.com,86426260,Foreign Languages,japanese,indian,mexican,
Kaitlyn,female,angelajackson@vaughn-stokes.com,69583861,Information Sciences,mexican,korean,ethiopian,
Nicole,female,llogan@murphy.com,86838303,Performing Arts,french,chinese,ethiopian,
Jason,male,jeremymaxwell@brewer.com,14817755,Philosophy and Religious Studies,japanese,ethiopian,mediterranian,
Shelby,female,evanmcdaniel@yahoo.com,86208272,Cultural,chinese,american,spanish,
Jacob,male,ethompson@gmail.com,15211547,Information Sciences,american,italian,chinese,
Ricky,male,mahoneysuzanne@yahoo.com,52269788,Applied Sciences,mexican,mediterranian,thai,
Omar,male,andrewgray@lopez.com,30108755,Biomedical Sciences,french,korean,japanese,
Monica,female,annacohen@yahoo.com,17863336,Information Sciences,italian,japanese,spanish,
Robert,male,melissa55@valdez.biz,67603892,Philosophy and Religious Studies,thai,mexican,japanese,
Mark,male,cwebster@duncan.info,67084577,English Language and Literature,mexican,ethiopian,mediterranian,
Tiffany,female,mitchelljason@gmail.com,57963776,Information Sciences,french,thai,american,
Michael,male,heathjoanna@parker.org,87312441,Performing Arts,japanese,american,mediterranian,
Alexis,female,phillipspatrick@hobbs-shaw.org,85597785,Agriculture,mexican,indian,spanish,
Dillon,male,shermancraig@yahoo.com,13601614,Journalism,italian,thai,korean,
Roger,male,zcharles@moore.com,79727950,Information Sciences,indian,korean,ethiopian,
Frank,male,eric59@meyer.com,10901172,Information Sciences,french,japanese,thai,
Audrey,female,yoderbarbara@gmail.com,63048002,Philosophy and Religious Studies,spanish,japanese,mediterranian,
Lisa,female,sextonlawrence@kramer-guerrero.info,32442342,Information Sciences,russian,indian,thai,
Michael,male,candice38@graham.net,46470042,Literatures,thai,french,mediterranian,
Grant,male,ymiller@davis.org,23402388,Communications Technologies,mexican,japanese,korean,
Scott,male,hendersonkenneth@case.biz,99440286,Performing Arts,mediterranian,french,thai,
Daniel,male,terri40@gmail.com,81842092,Information Sciences,italian,thai,indian,
Rachel,female,alexa73@gmail.com,21604662,Law Enforcement,mediterranian,korean,french,
Timothy,male,bortega@kline.org,71463227,Agriculture,mexican,russian,american,
Christopher,male,millermaria@donovan-walker.com,16592455,Cultural,mexican,ethiopian,korean,
Lisa,female,robertmartinez@fuentes-rose.com,62440495,Psychology,spanish,russian,mediterranian,
Gregory,male,moraleswendy@webster.com,18175296,Foreign Languages,thai,french,ethiopian,
Brenda,female,christina75@gmail.com,89258098,Philosophy and Religious Studies,mediterranian,ethiopian,japanese,
Philip,male,matthewrogers@yahoo.com,84064269,Business,indian,american,russian,
Stephen,male,simpsonrobert@gmail.com,27337043,Performing Arts,japanese,mediterranian,mexican,
Ryan,male,wendyayala@gmail.com,17743970,Psychology,mediterranian,chinese,american,
Lisa,female,glendamartin@white.org,81858101,Agriculture,spanish,mediterranian,korean,
Linda,female,bscott@king-sherman.info,54879476,Foreign Languages,french,russian,spanish,
Richard,male,porterbrenda@gmail.com,77361109,Business,mexican,french,chinese,
Patrick,male,mwilson@decker-arnold.org,61949394,Performing Arts,japanese,thai,american,
Christine,female,lmatthews@roberts.com,97264771,Business,italian,ethiopian,japanese,
Alejandra,female,melissabrown@long.com,39049508,Foreign Languages,ethiopian,french,american,
Larry,male,katiethomas@williams.com,98332929,Communications Technologies,mediterranian,french,mexican,
Angela,female,stonejamie@miller-hicks.com,28677381,Literatures,french,italian,american,
Mary,female,umurray@gmail.com,46205098,Management,korean,ethiopian,mexican,
Christopher,male,henryherring@yahoo.com,66075983,Applied Sciences,thai,mediterranian,indian,
Sonia,female,sharon58@solis.com,13313632,Information Sciences,french,japanese,italian,
Robert,male,juliewright@brown-lopez.org,19440794,English Language and Literature,russian,french,mexican,
Casey,male,lking@williams.com,90355600,Performing Arts,italian,ethiopian,korean,
Matthew,male,obrienrussell@chen.biz,66478897,Performing Arts,spanish,thai,french,
Derrick,male,oking@yahoo.com,12654930,Biomedical Sciences,ethiopian,american,chinese,
Jeffrey,male,juliawilliams@davis.com,95426408,Biomedical Sciences,indian,french,ethiopian,
Lance,male,donaldnielsen@hotmail.com,71731221,Agriculture,ethiopian,korean,mediterranian,
Amanda,female,sanchezchristopher@knight-rodriguez.com,83374719,Foreign Languages,french,thai,chinese,
Andrea,female,timothyli@hotmail.com,84780175,Agriculture,chinese,american,japanese,
Holly,female,ellisonchristina@hotmail.com,66128251,Communications Technologies,french,ethiopian,indian,
Benjamin,male,deborah30@elliott.com,61837476,Architecture,italian,spanish,french,
Michelle,female,william93@jensen.net,85620790,Business,mediterranian,japanese,thai,
Vincent,male,cynthiaolson@duran.com,95384842,Journalism,french,spanish,mexican,
Andrew,male,ortizsteven@yahoo.com,59726642,Communications Technologies,japanese,indian,american,
Benjamin,male,ashleyromero@gmail.com,56603008,Information Sciences,mediterranian,ethiopian,russian,
Joseph,male,hickseric@garrett.org,10048855,Psychology,italian,korean,indian,
Nathan,male,charlesfrost@gmail.com,50163906,Information Sciences,indian,russian,american,
Jennifer,female,wcross@wilcox-blake.biz,40109269,Information Sciences,mexican,indian,american,
Christie,female,yewing@cunningham-williams.biz,11593573,Marketing,mexican,ethiopian,chinese,
David,male,npacheco@berry.org,13397476,Marketing,mediterranian,korean,mexican,
Frances,female,freemannathan@hotmail.com,10177665,Philosophy and Religious Studies,chinese,japanese,american,
Andrew,male,ireed@shepard.com,66863320,Cultural,russian,korean,french,
Samantha,female,benjamin19@gmail.com,11027367,Literatures,ethiopian,korean,mediterranian,
Jennifer,female,ramostroy@hotmail.com,86324308,Information Sciences,russian,american,italian,
Tiffany,female,andersenparker@mitchell-harper.biz,10972628,Law Enforcement,ethiopian,mediterranian,chinese,
Jennifer,female,rojaskara@knight-reynolds.com,29106830,Philosophy and Religious Studies,russian,korean,french,
Jessica,female,michaelfrancis@hotmail.com,56784805,Marketing,thai,mediterranian,korean,
Ellen,female,dianemcgee@yahoo.com,88230909,Psychology,spanish,thai,french,
Catherine,female,amberlopez@lane.biz,71824742,Business,ethiopian,mexican,korean,
Julie,female,lgaines@hill.com,80637105,Architecture,italian,spanish,french,
Sara,female,kristen52@fowler-forbes.net,84739876,Ethnic,russian,mediterranian,ethiopian,
Mark,male,thomassanchez@smith.com,88424086,Psychology,spanish,mexican,italian,
Justin,male,ohart@washington.info,85575226,Biomedical Sciences,korean,russian,mexican,
Brandon,male,patricksmith@mercer.biz,90650801,Literatures,mediterranian,french,italian,
Melissa,female,newmanleah@gallagher.com,68835476,Law Enforcement,thai,russian,mexican,
John,male,pfry@gmail.com,15376091,Information Sciences,indian,mediterranian,american,
Charles,male,ogrant@yahoo.com,45450672,Philosophy and Religious Studies,mexican,indian,ethiopian,
Joseph,male,isabelladavidson@medina-wheeler.org,54645999,Applied Sciences,chinese,indian,spanish,
Jaime,female,stevenmcdonald@yahoo.com,61126841,Journalism,indian,mediterranian,spanish,
Christopher,male,qwilcox@dodson.com,36275163,Information Sciences,italian,french,mediterranian,
Mary,female,mjackson@yahoo.com,82157282,Literatures,spanish,russian,mediterranian,
Stacy,female,mikeallison@yahoo.com,60692082,Journalism,thai,russian,chinese,
